ligne;id;nomenclature;pattern;type;ancien_code;nouveau_code
78828;28133;COF;7;trois_lettres;3339;NC
78929;33849;CPE;7;trois_lettres;3339;NC
78932;33932;CSC;7;trois_lettres;3339;NC
78934;35369;CSE;7;trois_lettres;3339;NC
79106;42501;FSO;7;trois_lettres;3152;NC
79107;42502;FSR;7;trois_lettres;3512;NC
79108;42505;FSS;7;trois_lettres;3512;NC
79145;45414;HGS;7;trois_lettres;3513;NC
79354;55571;NIS;7;trois_lettres;3355;NC
79387;82028;OPC;7;trois_lettres;3139;NC
79432;59814;PCN;7;trois_lettres;3339;NC
79433;59823;PCS;7;trois_lettres;3339;NC
79441;60240;PGS;7;trois_lettres;3339;NC
79472;60933;PRE;7;trois_lettres;3339;NC
79589;68861;S.E;2;lettre_point_lettre;3119;NC
79624;70437;SHE;7;trois_lettres;3257;NC
79739;78582;TSE;7;trois_lettres;3119;NC
80850;59327;O.P.A;4;lettre_point_lettre_point_lettre;9329;NC
80856;59523;P.A.I;4;lettre_point_lettre_point_lettre;3339;NC
81394;27953;CNI;7;trois_lettres;3339;NC
81449;81643;IAS;7;trois_lettres;3339;NC
81454;48195;IOA;7;trois_lettres;3339;NC
81455;49549;ISA;7;trois_lettres;3339;NC
81476;58026;OPL;7;trois_lettres;3119;NC
81505;69024;S.O.P;4;lettre_point_lettre_point_lettre;3339;NC
81512;71283;SOU;7;trois_lettres;3339;NC
81789;9862;AOR;7;trois_lettres;3339;NC
81790;9945;APM;7;trois_lettres;2421;NC
81797;10320;ARH;7;trois_lettres;1212;NC
81798;10354;ARO;7;trois_lettres;3339;NC
81799;10363;AS;1;deux_lettres;3339;NC
81800;10417;ASE;7;trois_lettres;3339;NC
81801;15870;ASM;7;trois_lettres;3322;NC
81803;80547;BAC;7;trois_lettres;3119;NC
81807;18087;BDM;7;trois_lettres;1221;NC
81840;35540;DBA;7;trois_lettres;2521;NC
81848;39633;EAN;7;trois_lettres;3339;NC
81862;40833;ENQ;7;trois_lettres;3359;NC
81879;42951;GAR;7;trois_lettres;5152;NC
81897;48202;IS;1;deux_lettres;2511;NC
81904;81848;MAN;7;trois_lettres;9329;NC
81908;53279;MDN;7;trois_lettres;3339;NC
81909;53798;MEC;7;trois_lettres;3115;NC
81929;63072;REC;7;trois_lettres;3339;NC
81933;68267;RMQ;7;trois_lettres;3339;NC
81937;68839;RSM;7;trois_lettres;1221;NC
81952;74588;TE;1;deux_lettres;3339;NC
81955;79709;VA;1;deux_lettres;3339;NC
81958;36186;VRM;7;trois_lettres;3339;NC
